name,bus,p_nom,type,carrier,lat,lon
Gen_51397856820,unzugeordnet,620.0,NOT,Dieselöl,53.0531944444444,8.78572222222222
Gen_51397384508,unzugeordnet,87000.0,BHKW,Dieselöl,53.1282777777778,8.68805555555556
Gen_51396396611,unzugeordnet,142.0,BHKW,Erdgas,53.0712777777778,8.79338888888889
Gen_51396365062,unzugeordnet,99.487,PV,Solar Gebäude,53.06615,8.83913333333334
Gen_51396365062,unzugeordnet,88.78,PV,Solar Gebäude,53.06615,8.83913333333334
Gen_51396365062,unzugeordnet,30.786,PV,Solar Gebäude,53.06615,8.83913333333334
Gen_51396365674,unzugeordnet,133.402,PV,Solar Gebäude,53.0661583333333,8.83913333333334
Gen_51396365674,unzugeordnet,119.045,PV,Solar Gebäude,53.0661583333333,8.83913333333334
Gen_51396365674,unzugeordnet,41.281,PV,Solar Gebäude,53.0661583333333,8.83913333333334
Gen_51396366078,unzugeordnet,167.049,PV,Solar Gebäude,53.0654972222222,8.83846944444445
Gen_51396366078,unzugeordnet,149.071,PV,Solar Gebäude,53.0654972222222,8.83846944444445
Gen_51396366078,unzugeordnet,51.693,PV,Solar Gebäude,53.0654972222222,8.83846944444445
Gen_51397386744,unzugeordnet,5000.0,WKW,Wasserkraft,53.0615,8.86427777777778
Gen_51397386744,unzugeordnet,5000.0,WKW,Wasserkraft,53.0615,8.86427777777778
Gen_51396366359,unzugeordnet,91.2,PV,Solar Gebäude,53.0756694444445,8.77713888888889
